author,Orcid-ID,institute1,institute2,institute3,institute4,acknowledgement1,acknowledgement2,acknowledgement3,acknowledgement4
A. C. M. Correia,0000-0002-8946-8579,"CFisUC, Department of Physics, University of Coimbra, 3004-516 Coimbra, Portugal","IMCCE, UMR8028 CNRS, Observatoire de Paris, PSL Univ., Sorbonne Univ., 77 av. Denfert-Rochereau, 75014 Paris, France",,,"A.C. acknowledges support by CFisUC projects (UIDB/04564/2020 and UIDP/04564/2020), GRAVITY (PTDC/FIS-AST/7002/2020), ENGAGE SKA (POCI-01-0145-FEDER-022217), and PHOBOS (POCI-01-0145-FEDER-029932), funded by COMPETE 2020 and FCT, Portugal",,,
D. Angerhausen,,"ETH Z\""urich, Institute for Particle Physics and Astrophysics",,,,,,,
J. Schneider,0000-0002-3136-6537,"Paris Observatory, LUTh UMR 8102, 92190 Meudon, France",,,,,,,
M. Sestovic,,"Center for Space and Habitability, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,,,,
P. Robutel,0000-0001-8932-1713,"IMCCE, UMR8028 CNRS, Observatoire de Paris, PSL Univ., Sorbonne Univ., 77 av. Denfert-Rochereau, 75014 Paris, France",,,,,,,
J. Lillo-Box,0000-0003-3742-1987,"Depto. de Astrofísica, Centro de Astrobiologia (CSIC-INTA), ESAC campus, 28692 Villanueva de la Cãda (Madrid), Spain",,,,,,,
M. H. Kristiansen,0000-0002-2607-138X,"Brorfelde Observatory, Observator Gyldenkernes Vej 7, DK-4340 T\o{}ll\o{}se, Denmark","DTU Space, National Space Institute, Technical University of Denmark, Elektrovej 327, DK-2800 Lyngby, Denmark",,,,,,
O. Turner ,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
